"","Site","rootpase_groot_mean","rootpase_vol_mean","soilpase_gsoil_mean","soilpase_vol_mean","rootpase_groot_sd","rootpase_vol_sd","soilpase_gsoil_sd","soilpase_vol_sd"
"1","EVR",59.0766666666667,0.0472222222222222,7.62893654566667,10.8982400716667,23.2702053009852,0.0328739173881733,2.26593590580359,3.7897682792202
"2","EVV",53.6675,0.041875,3.76570762655556,4.608255193,26.5454756058892,0.0278641474710014,1.54904398992294,1.76869771180946
"3","ICA-R",98.8588888888889,0.11,5.18359410811111,6.81636070166667,43.7109881850217,0.0962288937897553,1.89629208259336,2.58364055531068
"4","ICA-V",25.4058888888889,0.0108888888888889,2.92168509588889,3.90401896455556,12.0249367196302,0.00945310060832482,1.30014818577645,1.81580613481632
